"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Plasma Unbound [µmol/l]","Organism|ArterialBlood|BloodCells|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Aciclovir|Whole Blood [µmol/l]"
1,0,0,0,0,0,0
1,3,15.11989,15.55742,13.40391,9.649843,12.78086
1,6,13.60101,12.66683,10.91344,7.663534,10.31528
1,9,11.73833,9.98112,8.599501,6.022957,8.120784
1,12,9.925799,8.105824,6.983789,4.889282,6.594049
1,15,8.397817,6.811323,5.868477,4.107188,5.54038
1,18,7.191124,5.899872,5.083193,3.556849,4.798651
1,21,6.267968,5.247178,4.520846,3.163056,4.267641
1,24,5.572349,4.772358,4.111753,2.876828,3.881459
1,27,5.050959,4.421331,3.809316,2.665398,3.596043
1,30,4.659563,4.157115,3.581674,2.506376,3.381268
1,33,4.36351,3.954274,3.406911,2.384373,3.216421
1,36,4.136835,3.795062,3.269737,2.288657,3.087052
1,39,3.96036,3.667042,3.159438,2.211715,2.983039
1,42,3.820134,3.561465,3.068476,2.148268,2.897262
1,45,3.706095,3.472137,2.991513,2.094579,2.824685
1,48,3.611002,3.394676,2.924774,2.04801,2.761743
1,51,3.529654,3.325946,2.865558,2.006673,2.705888
1,54,3.458342,3.26371,2.811936,1.969224,2.655301
1,57,3.394425,3.206378,2.762541,1.93471,2.608694
1,60,3.336004,3.152804,2.716383,1.902442,2.565134
1,63,3.281718,3.102155,2.672744,1.871922,2.523945
1,66,3.230593,3.053829,2.631108,1.842791,2.484641
1,69,3.18193,3.00739,2.591097,1.814788,2.446867
1,72,3.135224,2.962516,2.552434,1.78772,2.410362
1,75,3.0901,2.918965,2.514913,1.761446,2.374931
1,78,3.046283,2.876556,2.478374,1.735854,2.340426
1,81,3.00358,2.835154,2.442703,1.710867,2.306739
1,84,2.961848,2.794659,2.407813,1.686425,2.273789
1,87,2.920984,2.754995,2.37364,1.662483,2.241514
1,90,2.880908,2.716102,2.34013,1.639004,2.209866
1,93,2.841554,2.677927,2.30724,1.615958,2.178802
1,96,2.802876,2.640433,2.274935,1.593323,2.148291
1,99,2.764826,2.60358,2.243184,1.571074,2.118302
1,102,2.727374,2.567341,2.211961,1.549196,2.088812
1,105,2.690494,2.531691,2.181246,1.527673,2.059803
1,108,2.654168,2.496612,2.151022,1.506496,2.031257
1,111,2.61838,2.462086,2.121276,1.485652,2.003162
1,114,2.58312,2.4281,2.091995,1.465136,1.975507
1,117,2.548373,2.39464,2.063166,1.444936,1.948279
1,120,2.51413,2.361692,2.034779,1.425047,1.921469
1,135,2.350062,2.204216,1.899101,1.32999,1.793329
1,150,2.197145,2.057958,1.773089,1.241713,1.674323
1,165,2.054508,1.921915,1.655877,1.159609,1.563631
1,180,1.921377,1.795232,1.54673,1.083159,1.460558
1,195,1.797091,1.677188,1.445026,1.011925,1.364514
1,210,1.681037,1.567134,1.350206,0.9455166,1.274974
1,225,1.572643,1.464486,1.261767,0.8835781,1.191459
1,240,1.471384,1.368713,1.179251,0.8257889,1.113539
1,255,1.376781,1.279334,1.102244,0.771859,1.040821
1,270,1.288391,1.195909,1.030367,0.7215225,0.9729473
1,285,1.205797,1.118029,0.963268,0.6745321,0.9095856
1,300,1.128609,1.045315,0.9006193,0.6306589,0.8504268
1,315,1.056468,0.9774171,0.8421198,0.5896918,0.7951862
1,330,0.989039,0.9140103,0.78749,0.5514349,0.7435998
1,345,0.9260086,0.8547924,0.7364692,0.5157054,0.6954215
1,360,0.8670846,0.7994817,0.6888148,0.4823336,0.6504221
1,375,0.8119953,0.7478166,0.6443014,0.4511616,0.6083887
1,390,0.7604868,0.6995533,0.6027188,0.422042,0.569123
1,405,0.7123227,0.6544645,0.5638713,0.3948379,0.53244
1,420,0.6672816,0.612338,0.5275761,0.3694213,0.4981672
1,435,0.6251577,0.5729766,0.4936633,0.345673,0.4661439
1,450,0.5857587,0.5361961,0.4619741,0.3234819,0.4362204
1,465,0.5489052,0.501825,0.4323607,0.3027446,0.4082572
1,480,0.5144297,0.469703,0.4046852,0.2833644,0.3821239
1,495,8.879986,7.251012,6.247303,4.372444,5.898085
1,510,5.111569,4.568722,3.936304,2.75469,3.716127
1,525,4.12985,3.857528,3.323556,2.327075,3.138215
1,540,3.733348,3.513676,3.027302,2.120146,2.858717
1,555,3.462696,3.256902,2.806071,1.965312,2.649854
1,570,3.230357,3.032603,2.61282,1.829938,2.46735
1,585,3.018271,2.828146,2.436665,1.706513,2.300979
1,600,2.821627,2.639407,2.274052,1.592581,2.147398
1,615,2.638562,2.464399,2.123269,1.486946,2.004996
1,630,2.467854,2.301742,1.983127,1.388776,1.872648
1,645,2.308559,2.150361,1.852701,1.297418,1.749478
1,660,2.159839,2.009338,1.731199,1.212317,1.634738
1,675,2.020936,1.877867,1.617927,1.132983,1.527772
1,690,1.891186,1.755251,1.512283,1.058995,1.428011
1,705,1.769966,1.64085,1.413718,0.9899659,1.334934
1,720,1.656692,1.534079,1.321727,0.9255424,1.248067
1,735,1.550831,1.434409,1.235853,0.8654037,1.166976
1,750,1.451887,1.341349,1.155676,0.8092549,1.091265
1,765,1.359402,1.254451,1.080806,0.7568238,1.020566
1,780,1.272942,1.173295,1.010884,0.7078577,0.9545395
1,795,1.192109,1.097493,0.9455743,0.6621222,0.8928686
1,810,1.116528,1.026684,0.8845674,0.6194,0.8352607
1,825,1.045853,0.9605348,0.8275744,0.579489,0.7814432
1,840,0.9797598,0.8987324,0.7743269,0.5422009,0.7311625
1,855,0.9179459,0.8409867,0.7245745,0.5073606,0.6841824
1,870,0.8601291,0.7870271,0.6780843,0.4748048,0.6402826
1,885,0.8060455,0.7366011,0.6346383,0.444381,0.5992576
1,900,0.7554502,0.6894739,0.5940347,0.4159477,0.5609165
1,915,0.7081134,0.6454261,0.5560841,0.3893723,0.5250808
1,930,0.6638219,0.6042539,0.5206111,0.364532,0.4915846
1,945,0.6223761,0.5657668,0.4874515,0.3413118,0.4602729
1,960,0.5835894,0.5297867,0.4564519,0.3196042,0.4310009
1,975,8.945087,7.307473,6.295948,4.4065,5.944016
1,990,5.172887,4.621795,3.982031,2.786699,3.7593
1,1005,4.187602,3.907435,3.366555,2.357176,3.178813
1,1020,3.787757,3.560606,3.067735,2.148451,2.896893
1,1035,3.513928,3.301014,2.844077,1.991917,2.685739
1,1050,3.278641,3.0741,2.648573,1.854966,2.501107
1,1065,3.063735,2.867158,2.470277,1.730042,2.332713
1,1080,2.864495,2.676119,2.305681,1.614722,2.177262
1,1095,2.678972,2.498943,2.153031,1.50778,2.033097
1,1110,2.505961,2.334255,2.01114,1.408385,1.899096
1,1125,2.344488,2.180961,1.879065,1.315873,1.77437
1,1140,2.193718,2.038141,1.756015,1.229688,1.658168
1,1155,2.0529,1.904992,1.641297,1.149342,1.549837
1,1170,1.921347,1.780797,1.534294,1.074402,1.448791
1,1185,1.798424,1.664909,1.434447,1.004476,1.354505
1,1200,1.683549,1.556743,1.341254,0.9392101,1.266502
1,1215,1.576182,1.455763,1.254251,0.8782813,1.184346
1,1230,1.475822,1.361473,1.173013,0.8213902,1.107634
1,1245,1.382,1.273417,1.097146,0.7682609,1.035993
1,1260,1.294283,1.191172,1.026286,0.7186382,0.9690812
1,1275,1.212265,1.114347,0.9600954,0.6722858,0.9065782
1,1290,1.135569,1.042577,0.8982601,0.6289837,0.8481882
1,1305,1.063844,0.9755233,0.8404882,0.5885273,0.7936352
1,1320,0.9967605,0.9128703,0.7865078,0.5507262,0.7426627
1,1335,0.9340134,0.8543243,0.7360659,0.5154032,0.6950314
1,1350,0.8753166,0.7996113,0.6889265,0.482393,0.6505187
1,1365,0.8204042,0.748477,0.6448703,0.451542,0.6089175
1,1380,0.7690273,0.7006832,0.6036924,0.4227066,0.5700342
1,1395,0.7209538,0.6560084,0.5652015,0.3957531,0.5336884
1,1410,0.6759676,0.614246,0.52922,0.3705568,0.499712
1,1425,0.6338663,0.5752029,0.4955814,0.3470013,0.4679481
1,1440,0.5944607,0.5386988,0.4641303,0.3249776,0.4382498
