"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Plasma Unbound [µmol/l]","Organism|ArterialBlood|BloodCells|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Aciclovir|Whole Blood [µmol/l]"
0,2160,0.483007,0.4558131,0.3946167,0.2727805,0.3697878
0,2175,0.4671791,0.4407969,0.3816165,0.2637938,0.3576054
0,2190,0.4518761,0.4262826,0.3690509,0.2551075,0.3458303
0,2205,0.4370802,0.4122532,0.3569051,0.2467114,0.3344486
0,2220,0.4227747,0.3986925,0.345165,0.2385958,0.3234471
0,2235,0.4089428,0.3855842,0.3338166,0.230751,0.3128126
0,2250,0.3955686,0.3729129,0.3228465,0.2231677,0.3025327
0,2265,0.3826366,0.3606638,0.3122419,0.2158371,0.2925952
0,2280,0.3701323,0.3488227,0.3019906,0.2087507,0.2829889
0,2295,0.3580412,0.3373758,0.2920805,0.2019001,0.2737022
0,2310,0.3463494,0.3263094,0.2824999,0.1952773,0.2647243
0,2325,0.3350434,0.315611,0.2732378,0.1888747,0.256045
0,2340,0.3241107,0.305268,0.2642835,0.1826849,0.247654
0,2355,0.3135385,0.2952685,0.2556265,0.1767006,0.2395416
0,2370,0.3033148,0.2856009,0.2472568,0.1709149,0.2316985
0,2385,0.2934281,0.2762539,0.2391647,0.1653211,0.2241155
0,2400,0.2838672,0.2672168,0.2313409,0.1599128,0.2167839
0,2415,0.274621,0.2584792,0.2237764,0.1546837,0.2096953
0,2430,0.2656792,0.250031,0.2164625,0.1496278,0.2028415
0,2445,0.2570316,0.2418625,0.2093906,0.1447393,0.1962146
0,2460,0.2486685,0.2339643,0.2025528,0.1400125,0.189807
0,2475,0.2405804,0.2263273,0.1959411,0.1354421,0.1836112
0,2490,0.232758,0.2189426,0.1895479,0.1310227,0.1776203
0,2505,0.2251926,0.211802,0.183366,0.1267494,0.1718273
0,2520,0.2178757,0.2048972,0.1773882,0.1226171,0.1662256
0,2535,0.2107991,0.1982203,0.1716077,0.1186213,0.1608088
0,2550,0.2039546,0.1917637,0.166018,0.1147573,0.1555707
0,2565,0.1973346,0.18552,0.1606125,0.1110207,0.1505053
0,2580,0.1909318,0.1794821,0.1553853,0.1074073,0.145607
0,2595,0.1847388,0.1736431,0.1503302,0.103913,0.14087
0,2610,0.1787488,0.1679965,0.1454417,0.1005337,0.136289
0,2625,0.172955,0.1625357,0.140714,0.0972657,0.1318588
0,2640,0.167351,0.1572546,0.136142,0.09410523,0.1275744
0,2655,0.1619304,0.1521473,0.1317204,0.09104872,0.123431
0,2670,0.1566872,0.1472079,0.1274441,0.08809271,0.1194237
0,2685,0.1516156,0.1424308,0.1233084,0.08523386,0.1155482
0,2700,0.1467099,0.1378107,0.1193086,0.08246896,0.1118001
0,2715,0.1419647,0.1333424,0.1154401,0.07979487,0.108175
0,2730,0.1373745,0.1290207,0.1116987,0.07720856,0.104669
0,2745,0.1329344,0.1248409,0.1080801,0.07470714,0.101278
0,2760,0.1286393,0.1207982,0.1045802,0.07228781,0.09799834
0,2775,0.1244846,0.1168882,0.101195,0.06994782,0.09482621
0,2790,0.1204655,0.1131063,0.09792089,0.06768455,0.09175806
0,2805,0.1165776,0.1094483,0.09475406,0.06549545,0.08879047
0,2820,0.1128166,0.1059102,0.09169099,0.06337808,0.08592013
0,2835,0.1091784,0.102488,0.08872824,0.06133007,0.08314379
0,2850,0.1056588,0.09917787,0.08586249,0.05934909,0.08045835
0,2865,0.1022539,0.09597604,0.08309053,0.05743296,0.07786079
0,2880,0.09896015,0.092879,0.08040928,0.05557953,0.07534825
1,0,0,0,0,0,0
1,3,18.44982,17.83924,15.36987,10.69529,14.48158
1,6,15.4717,12.65821,10.90602,7.558487,10.26134
1,9,13.00493,10.84015,9.339618,6.461905,8.782372
1,12,11.18346,9.540067,8.2195,5.678212,7.724995
1,15,9.806787,8.544223,7.361504,5.080774,6.916402
1,18,8.75386,7.787108,6.709191,4.627978,6.302317
1,21,7.947199,7.213866,6.215299,4.285771,5.837661
1,24,7.329865,6.778725,5.840391,4.02632,5.485094
1,27,6.857528,6.446252,5.553941,3.828272,5.215802
1,30,6.495567,6.190099,5.333245,3.675813,5.008385
1,33,6.217176,5.990789,5.161525,3.557276,4.847038
1,36,6.001832,5.834005,5.026443,3.464094,4.720147
1,39,5.833972,5.709144,4.918866,3.389929,4.619113
1,42,5.701837,5.608335,4.832011,3.33008,4.537555
1,45,5.596589,5.525704,4.760818,3.281042,4.470713
1,48,5.511597,5.456863,4.701506,3.240198,4.41503
1,51,5.44189,5.398526,4.651244,3.205591,4.367846
1,54,5.383736,5.348216,4.607898,3.175746,4.327155
1,57,5.334332,5.304062,4.569856,3.149552,4.291442
1,60,5.291577,5.264656,4.535905,3.126172,4.259569
1,63,5.253892,5.228931,4.505126,3.104971,4.23067
1,66,5.220073,5.196068,4.476811,3.085464,4.204084
1,69,5.189209,5.16544,4.450423,3.067281,4.179305
1,72,5.160622,5.136575,4.425554,3.05014,4.155951
1,75,5.1338,5.109115,4.401894,3.03383,4.133731
1,78,5.108356,5.082783,4.379207,3.018188,4.112423
1,81,5.083992,5.057365,4.357308,3.003087,4.091854
1,84,5.060479,5.032694,4.336052,2.988428,4.071889
1,87,5.037643,5.008642,4.315329,2.974135,4.052423
1,90,5.015352,4.985106,4.295052,2.96015,4.033377
1,93,4.993507,4.962012,4.275154,2.946425,4.014686
1,96,4.972028,4.939296,4.255582,2.932925,3.996302
1,99,4.950859,4.916912,4.236297,2.919623,3.978186
1,102,4.929946,4.894816,4.21726,2.906492,3.960304
1,105,4.909257,4.872981,4.198447,2.893516,3.942632
1,108,4.888757,4.851375,4.179832,2.880677,3.925147
1,111,4.868427,4.829982,4.1614,2.867964,3.907833
1,114,4.84825,4.808782,4.143135,2.855367,3.890677
1,117,4.828213,4.787765,4.125027,2.842879,3.873668
1,120,4.808307,4.766919,4.107066,2.830492,3.856798
1,135,4.710505,4.66497,4.019229,2.769923,3.774298
1,150,4.615161,4.566282,3.934203,2.711301,3.694441
1,165,4.521985,4.470393,3.851587,2.654347,3.616851
1,180,4.430887,4.37706,3.771173,2.598916,3.541333
1,195,4.341768,4.286087,3.692792,2.544889,3.467724
1,210,4.254554,4.197324,3.616316,2.492178,3.395905
1,225,4.1692,4.110669,3.541657,2.440721,3.325794
1,240,4.085653,4.026031,3.468734,2.390461,3.257313
1,255,4.00386,3.943327,3.397479,2.341352,3.190398
1,270,3.92378,3.862492,3.327833,2.293352,3.124996
1,285,3.845376,3.783468,3.259748,2.246428,3.061059
1,300,3.768612,3.706206,3.193181,2.200551,2.998548
1,315,3.693449,3.630652,3.128086,2.155689,2.937419
1,330,3.619853,3.556764,3.064425,2.111815,2.877638
1,345,3.547783,3.484493,3.002158,2.068902,2.819165
1,360,3.477207,3.413797,2.941248,2.026924,2.761967
1,375,3.408089,3.344636,2.881661,1.985858,2.706011
1,390,3.340397,3.276972,2.823363,1.945681,2.651265
1,405,3.2741,3.210765,2.766321,1.906369,2.597699
1,420,3.209168,3.145982,2.710505,1.867903,2.545285
1,435,3.145568,3.082586,2.655884,1.830261,2.493993
1,450,3.083272,3.020544,2.602431,1.793422,2.443797
1,465,3.022252,2.959823,2.550115,1.757368,2.394669
1,480,2.962477,2.900392,2.49891,1.72208,2.346585
1,495,12.71071,11.38645,9.8103,6.768318,9.215928
1,510,9.342132,8.97537,7.73297,5.329538,7.261829
1,525,8.386976,8.255259,7.112539,4.901685,6.67908
1,540,8.026896,7.939617,6.840589,4.714399,6.423765
1,555,7.815199,7.730658,6.660554,4.59034,6.254708
1,570,7.643935,7.554358,6.508659,4.485611,6.112047
1,585,7.486057,7.391005,6.367918,4.388561,5.979856
1,600,7.334332,7.234758,6.2333,4.295741,5.85342
1,615,7.186796,7.083678,6.103132,4.205999,5.731169
1,630,7.042736,6.936886,5.97666,4.118814,5.612392
1,645,6.901864,6.793917,5.853481,4.033906,5.496712
1,660,6.76399,6.65445,5.733319,3.951083,5.383868
1,675,6.629035,6.518292,5.616009,3.870229,5.273702
1,690,6.496927,6.38529,5.501417,3.79125,5.166091
1,705,6.367575,6.255302,5.389423,3.714064,5.06092
1,720,6.240891,6.128205,5.279919,3.638594,4.958088
1,735,6.116813,6.003904,5.172824,3.564786,4.857519
1,750,5.995301,5.882327,5.068076,3.492596,4.759153
1,765,5.876304,5.7634,4.965611,3.42198,4.662932
1,780,5.759757,5.647047,4.865364,3.352892,4.568794
1,795,5.645598,5.533195,4.767272,3.28529,4.476679
1,810,5.533777,5.421781,4.67128,3.219136,4.386538
1,825,5.424247,5.312747,4.577339,3.154395,4.298322
